Ainley, David 	B-031-M 	Adelie Penguin response to climate change at the individual, colony and metapopulation levels
Ainley, David 	B-042-M 	COLLABORATIVE RESEARCH: Penguin foraging reveals phytoplankton spatial structure in the Ross Sea
Anderson, Kent 	G-090-P/S 	Global seismograph station at South Pole and Palmer Stations
Barwick, Steven 	A-127-M 	Development of hexagonal radio array for the ARIANNA ultra-high energy neutrino detector
Bentley, Charles 	T-350-M 	Ice Coring and Drilling Services (ICDS) support for WAIS Divide
Bieber, John 	A-120-M 	Cosmic ray observations at McMurdo Station
Bindschadler, Robert 	C-407-M 	IPY: Collaborative Research: Ocean-ice sheet interaction in the Amundsen Sea: The keystone of West Antarctic stability
Bockheim, James 	G-239-P 	Impact of recent climate warming on active-layer dynamics, permafrost, and soil properties on the western Antarctic Peninsula
Bristow, William 	A-369-M/S 	McMurdo and South Pole SuperDARN: Investigation of the ionospheric dynamics and magnetosphere-ionosphere coupling in Antarctica
Carlstrom, John 	A-379-S 	Cosmological Research with the 10-meter South Pole Telescope
Carpenter, Paul 	T-299-M 	IRIS/PASSCAL seismic support
Cassar, Nicolas 	O-405-L 	Physiological and ecosystem structure forcings on carbon fluxes in the Southern Ocean mixed layer
Chereskin, Teresa 	O-317-L/N 	Collaborative research: Southern Ocean current observations from the U.S. Antarctic research vessels
Chu, Xinzhao 	A-130-M 	Lidar Investigation of middle and upper atmosphere temperature, composition, chemistry, and dynamics at McMurdo, Antarctica
Conway, Howard 	I-209-M 	Deglaciation of the Ross Sea Embayment - constraints from Roosevelt Island
Corbett, David 	O-176-L/P 	Submarine groundwater and freshwater inputs along the Western Antarctic Peninsula
Cottle, John 	G-064-M 	Exploring the significance of NA-alkaline magmatism in subduction systems, a case study from the Ross Orogen
Devlin, Mark 	A-147-M 	Balloon-borne Large Aperture Sub-millimeter Telescope (BLAST-POL)
Dolk, Shaun R 	X-592-E 	NOAA’s Global Drifter Program (GDP)
Domack, Eugene 	C-515-E/L 	Continuation of the LARISSA continuous GPS network in view of observed dynamic response to Antarctic Peninsula mass balance and required geologic constraints
Doran, Peter 	B-511-M 	McMurdo LTER - Lakes: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valley LTER Program
Ducklow, Hugh William 	B-045-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, microbial ecology component
Engebretson, Mark J 	A-102-M/S 	Studies of solar wind - Magnetosphere interactions using observations of ULF waves at an extensive ground array at high latitudes
Evenson, Paul 	A-118-S 	Element composition of high-energy solar particles
Firing, Eric 	O-317-L/N 	Collaborative research: Southern Ocean current observations from the U.S. Antarctic research vessels
Fountain, Andrew 	B-504-M 	McMurdo LTER - Glaciers: Increased connectivity in a polar desert resulting from climate warming: McMurdo Dry Valleys LTER Program
Fraser, Bill 	B-013-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, apex predator component
Gill, John T 	A-336-P 	ELF/VLF observation of whistler-mode waves, lightning discharge, and gamma-ray events from Palmer Station
Halzen, Francis 	A-333-S 	IceCube operations and maintenance
Hanany, Shaul 	A-146-M 	E & B Experiment (EBEX)
Harvey, Ralph 	G-058-M 	Antarctic Search for Meteorites (ANSMET)
Harvey, Ralph 	G-057-M 	The Antarctic Search for Meteorites (ANSMET): Reconnaissance team
Hernandez, Gonzalo 	A-110-M/S 	Austral high-latitude atmospheric dynamics
Hofmann, Gretchen 	B-134-M 	Ocean acidification: Integrated approaches to understanding effects on antarctic sea urchins, Sterechinus neumayeri
Hosticka, Bouvard NMI 	T-998-P 	Operation and maintenance of a CTBT radionuclide monitoring station at Palmer Station
Karle, Albrecht 	A-107-S 	Collaborative Research: MRI-R2 instrument development of the Askaryan Radio Array, a large-scale radio Cherenkov neutrino detector at the South Pole
