Ainley, David 	B-031-M 	Adelie Penguin response to climate change at the individual, colony and metapopulation levels
Amsler, Charles 	B-022-P 	Collaborative Research: The chemical ecology of shallow-water marine macroalgae and invertebrates on the Antarctic Peninsula
Balco, Gregory 	C-515-N 	Collaborative Research in IPY: Abrupt Environmental Change in the Larsen Ice Shelf System, a Multidisciplinary Approach - Marine and Quaternary Geosciences
Barbeau, David L. 	G-432-E 	COLLABORATIVE RESEARCH: Testing the Polar Gateway Glaciation Hypothesis: the Kinematic, Sedimentary, Water-Mass, and Ice-Volume Record of Drake Passage Opening
Besson, Dave 	A-123-S 	Neutrino Array Radio Calibration
Bieber, John 	A-120-M 	Cosmic ray observations at McMurdo Station
Bindschadler, RobertExternal U.S. Government Site 	C-407-M 	IPY: Collaborative Research: Ocean-ice sheet interaction in the Amundsen Sea: The keystone of West Antarctic stability
Blankenship, Donald 	G-098-M 	IPY Research: Investigating the cryospheric evolution of the central Antarctic plate (ICECAP)
Bristow, William 	A-369-M 	Southpole (McMurdo) SuperDARN
Buesseler, Kenneth O 	O-288-L/N 	WAP-flux: New Tools to Study the Fate of Phytoplankton Production in the West Antarctic Peninsula
Butler, JamesExternal U.S. Government Site 	O-257-S 	South Pole monitoring for climatic change
Carlstrom, John 	A-379-S 	Cosmological Research with the 10-meter South Pole Telescope
Carlstrom, John 	A-370-S 	Science Coordination Office for Astrophysical Research in Antarctica (SCOARA-II)
Conway, Howard 	I-157-M 	IPY collaborative research: Constraining the mass balance deficit of the Amundsen Coast's glaciers
Deshler, Terry 	O-131-M 	Measurements of Antarctic ozone and polar stratospheric cloud profiles in a time of decreasing atmospheric chlorine, climate change, and fluctuations in polar vortex strength
Domack, Eugene 	C-515-N 	Collaborative Research in IPY: Abrupt Environmental Change in the Larsen Ice Shelf System, a Multidisciplinary Approach - Marine and Quaternary Geosciences
Doran, Peter 	B-426-M 	Role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
Emslie, Steven D 	B-034-E/M 	Stable isotope analyses of pygoscelid penguin remains from active and abandoned colonies in Antarctica
Engler, Elise 	W-219-M 	Unpacking Antarctica
Evenson, Paul 	A-118-S 	Element composition of high-energy solar particles
Evenson, Paul 	A-120-M 	Cosmic ray observations at McMurdo Station
Evenson, Paul 	A-333-S 	IceCube operations and maintenance
Foreman, Christine 	B-046-M 	The biogeochemical evolution of dissolved organic matter in a fluvial system on the Cotton Glacier, Antarctica
Fountain, Andrew 	B-425-M 	Role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valleys LTER program
Fraser, Bill 	B-013-L/P 	Palmer Long Term Ecological Research (LTER): Looking back in time through marine ecosystem space, apex predator component
Garrott, Robert 	B-009-M 	The demographic consequences of environmental variability and individual heterogeneity in life-history tactics of a long-lived Antarctic marine predator
Gogineni, Prasad 	I-188-M 	Center for Remote Sensing of Ice Sheets (CReSIS) - ground radar and seismic operations
Gogineni, Prasad 	I-189-M 	Center for Remote Sensing of Ice Sheets (CReSIS) - Basler airborne radar survey
Gogineni, Prasad 	I-185-M 	Center for Remote Sensing of Ice Sheets (CReSIS) - Unmanned Aerial System (UAS) operations
Hernandez, Gonzalo 	A-110-M/S 	Austral high-latitude atmospheric dynamics
Inan, Umran 	A-108-S 	A VLF beacon transmitter at South Pole
Inan, Umran 	A-336-P 	ELF/VLF observation of whistler-mode waves, lightning discharge, and gamma-ray events from Palmer Station
